setup,ticker,signal_date,entry_zone,stop,target_2R,target_mid,risk_per_sh,qty,notional,rs,rsi,gate,action,logged_at
BB_REV,BSE,2026-08-21,3241.0,3083.2,3556.7,3476.7,157.8,46,149086,72,31.9,CLOSED,WATCH,2026-08-21T19:23:02
BB_REV,CUMMINSIND,2026-08-21,5107.5,4917.2,5488.0,5399.5,190.3,29,148117,75,31.9,CLOSED,WATCH,2026-08-21T19:23:02
PULLBACK,POWERINDIA,2026-08-21,34190.0,31531.2,39507.7,,2658.8,3,102570,91,52.7,CLOSED,WATCH,2026-08-21T19:23:03
PULLBACK,VEDL,2026-08-21,279.0,259.5,318.0,,19.5,461,128619,92,56.2,CLOSED,WATCH,2026-08-21T19:23:03
TIER2(HDFCBANK +5.7%),ICICIBANK,2026-08-21,1420.0,1373.8,1512.5,,46.2,105,149100,39,50.4,CLOSED,WATCH,2026-08-21T19:23:04
TIER2(LT +6.3%),BEL,2026-08-21,413.1,398.0,443.5,,15.2,363,149973,49,59.5,CLOSED,WATCH,2026-08-21T19:23:04
TIER2(LT +6.3%),HAL,2026-08-21,4994.6,4752.3,5479.1,,242.3,30,149838,52,66.0,CLOSED,WATCH,2026-08-21T19:23:05
